person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
60,39184,RENT,29.7,EDUCATION,B,9644,19.73,0.25,Y,20,0
21,34561,OWN,9.3,HOMEIMPROVEMENT,A,13531,19.32,0.39,N,9,0
37,11703,OWN,27.9,MEDICAL,C,10689,9.31,0.91,N,5,1
26,104104,MORTGAGE,24.1,PERSONAL,F,30608,15.72,0.29,N,4,0
60,172141,MORTGAGE,23.1,DEBTCONSOLIDATION,A,3503,18.23,0.02,N,4,0
26,109647,MORTGAGE,18.1,MEDICAL,B,24760,12.11,0.23,N,24,0
61,28717,OWN,21.4,EDUCATION,B,30794,12.59,1.07,Y,23,1
23,70043,RENT,32.2,VENTURE,C,4837,9.22,0.07,N,8,0
45,178519,OTHER,5.7,EDUCATION,B,17719,19.94,0.1,N,30,0
43,67493,OWN,20.4,PERSONAL,G,3587,22.22,0.05,Y,22,1
63,120666,RENT,15.4,HOMEIMPROVEMENT,D,16976,24.42,0.14,Y,23,0
63,150763,MORTGAGE,30.7,MEDICAL,A,19734,13.7,0.13,N,2,0
36,141225,OWN,20.3,PERSONAL,G,20058,21.83,0.14,Y,6,1
30,151394,RENT,24.0,VENTURE,A,7831,23.58,0.05,N,9,1
56,30645,RENT,29.3,PERSONAL,G,8741,7.57,0.29,N,19,1
53,169014,OTHER,38.6,HOMEIMPROVEMENT,G,13682,19.26,0.08,N,23,0
48,145679,OTHER,4.8,EDUCATION,A,22656,5.42,0.16,Y,20,0
24,195556,RENT,9.2,PERSONAL,G,22154,6.42,0.11,Y,10,0
33,151356,OWN,28.9,HOMEIMPROVEMENT,E,31476,9.86,0.21,N,27,0
26,35409,OTHER,14.2,VENTURE,D,4050,18.47,0.11,Y,3,1
41,38644,OWN,7.7,HOMEIMPROVEMENT,D,9686,13.44,0.25,N,16,0
24,126164,RENT,2.0,HOMEIMPROVEMENT,G,1467,24.38,0.01,Y,7,1
50,66032,OTHER,36.1,EDUCATION,D,641,24.71,0.01,N,27,0
38,120888,OTHER,6.2,MEDICAL,B,4332,16.58,0.04,Y,25,0
23,163138,OTHER,20.1,HOMEIMPROVEMENT,B,4227,24.22,0.03,Y,29,1
58,27815,OWN,16.2,HOMEIMPROVEMENT,B,3104,17.39,0.11,N,23,0
53,92934,MORTGAGE,8.2,DEBTCONSOLIDATION,C,16142,10.31,0.17,Y,23,0
49,92883,RENT,0.4,HOMEIMPROVEMENT,E,7052,6.47,0.08,Y,18,1
42,28033,OWN,14.8,EDUCATION,D,20325,17.23,0.73,Y,23,0
39,183903,RENT,37.6,EDUCATION,C,8064,22.79,0.04,Y,10,1
33,198117,MORTGAGE,8.1,DEBTCONSOLIDATION,G,17800,15.11,0.09,N,30,0
23,34195,OTHER,33.2,PERSONAL,A,22359,20.42,0.65,N,7,0
55,194986,OTHER,22.4,PERSONAL,A,10268,15.91,0.05,N,20,0
47,43409,RENT,12.3,PERSONAL,C,14267,18.64,0.33,Y,13,0
46,172702,OWN,37.0,EDUCATION,G,11149,24.52,0.06,Y,30,1
31,97080,OTHER,32.1,DEBTCONSOLIDATION,G,16763,10.34,0.17,Y,14,0
50,68309,OWN,32.7,VENTURE,C,20500,21.41,0.3,Y,9,1
32,114455,MORTGAGE,11.1,PERSONAL,G,18792,12.02,0.16,N,23,0
54,96808,RENT,4.6,MEDICAL,B,17897,5.77,0.18,N,13,0
40,124398,RENT,15.4,HOMEIMPROVEMENT,B,17193,5.89,0.14,N,2,0
54,190055,OWN,14.6,PERSONAL,F,22139,17.46,0.12,Y,25,0
52,91077,OTHER,13.0,DEBTCONSOLIDATION,C,8841,8.84,0.1,N,23,0
31,171353,MORTGAGE,16.2,PERSONAL,C,19303,9.2,0.11,N,16,0
